index,user,title,content,comment,link,date,view,rate,comment_count
39842543,후쇼군,각성 호라이즌 보고 돌아와서 뽑기를 했는데,이건 너무한거 아니냐고.. 이겜만큼은 천장 볼 일 없을 줄 알았는데..그래도 이쁘니까.. 만족,"[{'user': 'ㅐㄴ', 'comment': '(emoticon)'}, {'user': '랑편#60846748', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39842543,2021-12-07 01:06:16,45,5,2
39842336,클러스트,"""여기는 무슨 용건입니까 휴먼""","대충 예상은 갑니다만, 그래도 직접 듣는게 좋겠군요.....역시 제가 휴먼 보는 눈은 괜찮은가 봅니다그래서 당신에게만 특별히 드릴 말씀이 있습니다호라이즌 투자기금은 현시간부로 다시 업무를 재개하려 합니다인류수호라는 큰 짐은 잠시 내려놓고 말이죠그리고 그 무거운 짐을 맡아주는게 당신같은 휴먼이라 다행이라 생각합니다기회가 된다면 꼭 다시 만나러 오겠습니다","[{'user': '아루룽', 'comment': '(emoticon)'}, {'user': 'SDAKAJUXIM', 'comment': '뭐래 보지나벌려 이년아'}, {'user': '블루아카이브', 'comment': '(emoticon)'}, {'user': '아카살정실은예니카', 'comment': '사장 조아해'}, {'user': '랑편#60846748', 'comment': '(emoticon)'}, {'user': 'ㅇ반고닉ㅇ', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39842336,2021-12-07 01:02:49,215,15,6
39842286,슈플레#58286850,호라이즌 육벽구속야짤 있던것 같은데,막상 찾아보려니 없다...,,https://arca.live/b/counterside/39842286,2021-12-07 01:02:04,17,0,0
39840500,Poca,각우 궁 대사 머라고하는지 아는사람,잘안들려,"[{'user': '김리본', 'comment': '더이상 지체할 시간이 없습니다 아님?'}, {'user': '아루룽', 'comment': '아베스타 드라이브 출력 상승'}, {'user': '두트리오', 'comment': '나무위키 ㄱㄱ'}, {'user': '앤뱃살', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39840500,2021-12-07 00:34:56,109,0,4
39839659,깐따삐야#17603480,1일1깡우,응애호라이즌시험기간이니 멈춰야지 챈바,"[{'user': '숲토끼', 'comment': '(emoticon)'}, {'user': '늒네#86893131', 'comment': '(emoticon)'}, {'user': '아루룽', 'comment': '(emoticon)'}, {'user': 'purple', 'comment': '(emoticon)'}, {'user': '클러스트', 'comment': '(emoticon)'}, {'user': 'Elz', 'comment': '존나귀엽네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ'}, {'user': '대적자리이헤븐즈사인민혁', 'comment': '(emoticon)'}, {'user': 'Nanoha', 'comment': '(emoticon)'}, {'user': '뱅레이', 'comment': '시험 십새기 이걸 멈추게하네 타오린 맛좀 보여야겟노'}, {'user': '카린웡', 'comment': '(emoticon)'}, {'user': '독호메', 'comment': '쪼옵...쪼오옵...'}, {'user': '샌디치크스', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ, 211.201', 'comment': '(emoticon)'}, {'user': '베버', 'comment': '(emoticon)'}, {'user': '견로', 'comment': '(emoticon)'}, {'user': '하얀마음뿌꾸', 'comment': '(emoticon)'}, {'user': '꿀꼬비', 'comment': '(emoticon)'}, {'user': '메이드기사노엘#63915047', 'comment': '후라이즌콘 없뎃을 죽인 시험을 죽인다'}, {'user': '메이드기사노엘#63915047', 'comment': '(emoticon)'}, {'user': 'E50M', 'comment': '귀여워'}, {'user': '스튜비급강하폭격기', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39839659,2021-12-07 00:23:41,363,37,21
39839014,Kinnear,이번 블프패키지 알차게 썼다 만족,"호라이즌 메스충, 110부사장님 110","[{'user': '숲토끼', 'comment': '(emoticon)'}, {'user': 'Kinnear', 'comment': '(emoticon)'}, {'user': '요정버서', 'comment': '비틱 메모'}, {'user': 'Kinnear', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39839014,2021-12-07 00:15:16,71,1,4
39838055,베로니카#38448647,"패치노트 요약입니다, 주인님.","하이루 방가방가입니다 주인님.오늘은 메이드장님 대신 패치노트 요약을 해드리기 위해 왔습니다.오래간만에 이 일로 주인님을 뵙는거라 할 얘기는 많지만,먼저 보고부터 하도록 하겠습니다.먼저, [콜드 케이스 호라이즌] 사원의 기밀 채용이 종료됩니다.주인님은 허접이 아니시니 응당 뽑으셨겠죠.그 다음은 [8봉인역 재건] 및 [클로에의 정보 탐색]이 끝납니다.그럼, 패치노트 요약 시작할테니 많관부. >_<챌린지 모드 : [아나스타샤의 물자정비(강화 모듈)] 복각▶12/7(화) 점검 후부터 12/14(화) 오전 4시까지 진행됩니다.챌린지 모드 : [아나스타샤의 물자정비(튜닝 바이너리)] 추가▶12/7(화) 점검 후부터 12/14(화) 오전 4시까지 진행됩니다.▶튜닝 바이너리를 준다니 이거 완전 박박이네요.사원 [아라한 주시윤], [리플레이서 퀸] 기밀채용 복각격전지원 정식 시즌 17차▶네르비에와 나이트 재생체가 등장합니다. 근데 이제 받는 회복량 감소와 지상 유닛 명중 감소를 곁들인.▶12/7(화) 점검 후부터 12/14(화) 오전 4시까지 진행됩니다.상점에 신 패키지 추가▶알잘딱깔센하게 선정한 패키지들이 추가될 예정입니다.개선 및 오류 수정▶이벤트 스테이지 스크립트 및 대사의 전반적인 오타, 오기가 수정됩니다.자세한 내용은 아래 링크를 참조 바라며,12/7(화) 업데이트 점검 및 패치노트 안내후, 오늘 주인님을 위해서 한껏 공들여 패치노트를 작성했습니다.부디 주인님이 마음데 드셨으면 좋겠습니다.핑프라고 하던가요? 그런 욕은 듣지 않아주셨으면 하니.그럼 어쨌든 저는 이만 물러가보겠습니다.좋댓구알? 부탁드립니다, 주인님.","[{'user': '더워죽겠어', 'comment': '딱좋다이기'}, {'user': '부식되는세계', 'comment': '(emoticon)'}, {'user': '시그마져아', 'comment': '릴리게이 고맙다이기..'}, {'user': '내알아한다고', 'comment': '(emoticon)'}, {'user': '메이크유나그레이트어게인#78677898', 'comment': '알잘딱깔센이 뭐야시발 이런건어케아는거야'}, {'user': '난정말몰라요#90018563', 'comment': '(emoticon)'}, {'user': '베로니카#38448647', 'comment': '알아서 잘 딱 깔끔하게 센스있게? 그런 의미였던걸로 기억합니다, 메모장에 뜻은 적어두지 않았기에 잘 모르겠네요.'}, {'user': '메이크유나그레이트어게인#78677898', 'comment': '(emoticon)'}, {'user': '왕소라', 'comment': '릴리게이\n나도 모르는 말들 많이 알고있노'}, {'user': 'zkamcc', 'comment': '박박이네요 까지는 이해했는데 시벌 알잘딱깔센이 뭔데 차라리 이기야노데스웅챠라고 해줘...'}, {'user': '앤뱃살', 'comment': '부엉부엉잼이노'}, {'user': 'SDAKAJUXIM', 'comment': '보지벌려이년아'}, {'user': '배가아픈레후', 'comment': '릴리게이는 노가 부끄럽노?'}, {'user': '독호메', 'comment': '나는 그대로 릴리의 머리를 쓰다듬었다'}, {'user': '메이드기사노엘#63915047', 'comment': '말투 ㄹㅇ 릴리같네'}, {'user': '반갑노', 'comment': '릴리게이야 침대로와라 이기'}, {'user': 'ㅇㅇ#29202254', 'comment': '핑프는 첨들어보노'}, {'user': '베로니카#38448647', 'comment': '핑거 프린세스? 라는 말이였던걸로 기억합니다. 자신이 찾아보지 않고 남에게 무지성으로 물어보는 분들을 뜻한다는군요.'}, {'user': '보노본호', 'comment': '릴리게이야 부끄러움을 많이타노익이'}, {'user': '미야', 'comment': '(emoticon)'}, {'user': '싱싱한#76147464', 'comment': '릴리양 패노 요약 나나 쩌네요'}, {'user': 'VCT', 'comment': '컨셉 ㄷㄷ'}, {'user': 'VCT', 'comment': '컨셉 ㄷㄷ'}]",https://arca.live/b/counterside/39838055,2021-12-07 00:04:12,588,35,23
39835930,슈플레#58286850,다음번에는 각우로 커미션 해볼까,뭔가 내 특성상 이상성욕 될 삘이긴 한데...,"[{'user': '중국몽죄인', 'comment': '(emoticon)'}, {'user': '슈플레#58286850', 'comment': '(emoticon)'}, {'user': 'TerminalVelocity', 'comment': '겨드랑이 맛있게 부탁해'}, {'user': '슈플레#58286850', 'comment': '겨드랑이 페티시는 없어서 미안...'}, {'user': 'TerminalVelocity', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39835930,2021-12-06 23:41:54,58,0,5
39835779,한번하면끝까지하는편,이번에 카사 시작할라고 하는데,메카덱 하고싶은데 각성 호라이즌 말고 일반 호라이즌 없어도됨??그리고 찾아본 리세계 여기다가 올리면 봐줌?,"[{'user': '4G5G', 'comment': '일반 호라이즌도 좋음.\n리세계는 사람들이 잘 봐줌'}, {'user': '4G5G', 'comment': '근데 일반호라이즌은 패스라 아마 리세계에 없을거임'}, {'user': '한번하면끝까지하는편', 'comment': '일반 호라이즌 있는덱이 없든데..'}, {'user': '4G5G', 'comment': '그럼 그냥 각호라이즌만 픽하고 가.'}, {'user': '한번하면끝까지하는편', 'comment': '오케이 좀만 찾아보고 리세계 올려볼게 ㅎㅎ'}, {'user': '부식되는세계', 'comment': '아이고 우리뉴비 메카덱에 눈떴네... 일반호라이즌있으면 시너지 조지긴하는데 걍 쎄서 ㄱㅊ 리세계골라가져와보셈'}, {'user': '한번하면끝까지하는편', 'comment': '아니 영상봤는데 뽕이 미쳤드라구..'}, {'user': 'Nanoha', 'comment': '일반 깡우는 좀 전에 끝난 패스 캐릭이라 지금 구하는건 거의 불가능에 가까움\n리세계 잘 봐줌'}, {'user': '대적자리이헤븐즈사인민혁', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39835779,2021-12-06 23:39:54,58,0,9
39833559,공원의수호자#44549237,와 이볼브원이 호라이즌도 잡아먹네,생각해보면 당연한 일인데나 바보인가,"[{'user': '대적자리이헤븐즈사인민혁', 'comment': '(emoticon)'}, {'user': '카붕가붕이#67881991', 'comment': '(emoticon)'}, {'user': '누소', 'comment': '(emoticon)'}, {'user': 'Onedaymore', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39833559,2021-12-06 23:13:20,67,0,4
